STATE,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
ALABAMA,230,269,212,253
ALASKA,232,274,204,252
ARIZONA,238,280,216,259
ARKANSAS,233,274,215,259
CALIFORNIA,235,276,216,259
COLORADO,242,285,225,267
CONNECTICUT,243,286,224,270
DELAWARE,239,277,218,260
DISTRICT_OF_COLUMBIA,235,269,214,250
DODEA,250,292,235,280
FLORIDA,246,279,225,263
GEORGIA,238,279,218,262
HAWAII,239,275,218,258
IDAHO,242,286,223,266
ILLINOIS,237,283,218,265
INDIANA,245,286,222,266
IOWA,241,282,221,262
KANSAS,239,282,219,263
KENTUCKY,239,278,221,263
LOUISIANA,231,272,210,257
MAINE,241,282,221,265
MARYLAND,239,280,220,264
MASSACHUSETTS,247,294,231,273
MICHIGAN,236,280,218,263
MINNESOTA,248,291,222,264
MISSISSIPPI,241,274,219,256
MISSOURI,238,281,218,263
MONTANA,241,284,222,265
NATIONAL,241,282,220,263
NEBRASKA,244,285,222,264
NEVADA,236,274,218,258
NEW_HAMPSHIRE,245,287,224,268
NEW_JERSEY,246,292,227,270
NEW_MEXICO,231,269,208,252
NEW_YORK,237,280,220,262
NORTH_CAROLINA,241,284,221,263
NORTH_DAKOTA,243,286,221,263
OHIO,241,286,222,267
OKLAHOMA,237,276,216,258
OREGON,236,280,218,264
PENNSYLVANIA,244,285,223,264
RHODE_ISLAND,239,276,220,262
SOUTH_CAROLINA,237,276,216,259
SOUTH_DAKOTA,241,287,222,263
TENNESSEE,240,280,219,262
TEXAS,244,280,216,256
UTAH,244,285,225,267
VERMONT,239,287,222,268
VIRGINIA,247,287,224,262
WASHINGTON,240,286,220,266
WEST_VIRGINIA,231,272,213,256
WISCONSIN,242,289,220,267
WYOMING,246,286,227,265
