state,county,lat,lng
Louisiana,Acadia Parish,30.2951,-92.4142
Louisiana,Allen Parish,30.6539,-92.8247
Louisiana,Ascension Parish,30.2262,-90.9133
Louisiana,Assumption Parish,29.8994,-91.0646
Louisiana,Avoyelles Parish,31.1056,-92.0669
Louisiana,Beauregard Parish,30.7859,-93.3382
Louisiana,Bienville Parish,32.3526,-92.9737
Louisiana,Bossier Parish,32.7102,-93.7067
Louisiana,Caddo Parish,32.5977,-93.8871
Louisiana,Calcasieu Parish,30.2131,-93.3382
Louisiana,Caldwell Parish,32.0967,-92.1193
Louisiana,Cameron Parish,29.8434,-93.1775
Louisiana,Catahoula Parish,31.6655,-91.8243
Louisiana,Claiborne Parish,32.8235,-93.0067
Louisiana,Concordia Parish,31.4371,-91.6769
Louisiana,De Soto Parish,32.0377,-93.7002
Louisiana,East Baton Rouge Parish,30.5385,-91.0978
Louisiana,East Carroll Parish,32.8044,-91.2349
Louisiana,East Feliciana Parish,30.8443,-91.0623
Louisiana,Evangeline Parish,30.7299,-92.3992
Louisiana,Franklin Parish,32.1421,-91.6686
Louisiana,Grant Parish,31.5838,-92.5564
Louisiana,Iberia Parish,29.9574,-91.7539
Louisiana,Iberville Parish,30.2645,-91.3149
Louisiana,Jackson Parish,32.2542,-92.5564
Louisiana,Jefferson Parish,29.5093,-90.1628
Louisiana,Jefferson Davis Parish,30.2711,-92.8146
Louisiana,Lafayette Parish,30.2241,-92.0198
Louisiana,Lafourche Parish,29.6952,-90.5258
Louisiana,LaSalle Parish,31.6821,-92.1785
Louisiana,Lincoln Parish,32.5994,-92.6586
Louisiana,Livingston Parish,30.4433,-90.7309
Louisiana,Madison Parish,32.4392,-91.2891
Louisiana,Morehouse Parish,32.8313,-91.7979
Louisiana,Natchitoches Parish,31.7651,-93.0835
Louisiana,Orleans Parish,30.0336,-89.9315
Louisiana,Ouachita Parish,32.4765,-92.1476
Louisiana,Plaquemines Parish,29.3578,-89.9032
Louisiana,Pointe Coupee Parish,30.711,-91.6042
Louisiana,Rapides Parish,31.2633,-92.4983
Louisiana,Red River Parish,32.0957,-93.3382
Louisiana,Richland Parish,32.4232,-91.7671
Louisiana,Sabine Parish,31.5632,-93.553
Louisiana,St. Bernard Parish,29.8798,-89.3227
Louisiana,St. Charles Parish,29.9278,-90.3664
Louisiana,St. Helena Parish,30.8224,-90.7101
Louisiana,St. James Parish,30.0179,-90.7913
Louisiana,St. John the Baptist Parish,30.1236,-90.5118
Louisiana,St. Landry Parish,30.6032,-92.0665
Louisiana,St. Martin Parish,30.1282,-91.6235
Louisiana,St. Mary Parish,29.6961,-91.4099
Louisiana,St. Tammany Parish,30.4357,-89.9253
Louisiana,Tangipahoa Parish,30.6212,-90.3748
Louisiana,Tensas Parish,32.0387,-91.2891
Louisiana,Terrebonne Parish,29.3406,-90.7469
Louisiana,Union Parish,32.8313,-92.6586
Louisiana,Vermilion Parish,29.8858,-92.1846
Louisiana,Vernon Parish,31.1396,-93.3382
Louisiana,Washington Parish,30.8471,-90.1383
Louisiana,Webster Parish,32.7071,-93.3382
Louisiana,West Baton Rouge Parish,30.4509,-91.2586
Louisiana,West Carroll Parish,32.8442,-91.4501
Louisiana,West Feliciana Parish,30.8786,-91.3787
Louisiana,Winn Parish,31.9365,-92.6617
