state,TRUE,FALSE,Grand Total
California,709784,5296177,6005961
Texas,3382177,2508170,5890347
Florida,3070400,2598331,5668731
Pennsylvania,1913864,1464399,3378263
New York,1324507,1925723,3250230
Ohio,2216520,938314,3154834
Illinois,996586,1827340,2823926
North Carolina,1732531,1026242,2758773
Michigan,1514050,1135802,2649852
Georgia,1604008,857846,2461854
Virginia,942080,1020350,1962430
New Jersey,591153,1292121,1883274
Tennessee,1619572,233376,1852948
Indiana,1394101,335751,1729852
Missouri,1332588,386148,1718736
Arizona,413575,1248111,1661686
Wisconsin,1223464,386601,1610065
Washington,550069,1034582,1584651
Minnesota,860199,623866,1484065
Alabama,1234925,206243,1441168
South Carolina,1160734,224369,1385103
Colorado,655076,709531,1364607
Kentucky,1117140,209506,1326646
Louisiana,1064365,191411,1255776
Massachusetts,130977,1036225,1167202
Oklahoma,1020280,0,1020280
Maryland,384913,591501,976414
Oregon,409376,549072,958448
Iowa,620920,276752,897672
Utah,622466,242674,865140
Arkansas,669488,91159,760647
Kansas,515603,242497,758100
Mississippi,636732,120032,756764
Connecticut,185555,529736,715291
Nevada,122200,547690,669890
Nebraska,367595,189251,556846
Idaho,537757,16362,554119
West Virginia,545382,0,545382
New Mexico,160228,241666,401894
New Hampshire,192278,173376,365654
Maine,197001,162898,359899
Montana,270068,73534,343602
South Dakota,256381,4662,261043
North Dakota,234080,1515,235595
Delaware,71230,129373,200603
Rhode Island,48296,151541,199837
Hawaii,0,196864,196864
Wyoming,180639,12920,193559
Alaska,119801,70091,189892
Vermont,14972,97732,112704
District of Columbia,0,18586,18586
